Speaker	Statement	Rating
Jim McDermott	On (the federal minimum wage of) $7.75, you cant even make half the poverty level.	4
Jack Keane	Al-Qaida has grown fourfold in five years.	2
John Stossel	There is no good data showing secondhand smoke kills people.	4
Steve LaTourette	Quite frankly, it was during the Bush years of spending, multiplied now by the Obama years that we have this mess.	1
Steve LaTourette	If you look at the jobs lost in the private sector as opposed to the job gains in the public sector, it's out of whack. The government's growing and the private economy's shrinking.	2
Steve LaTourette	For each $1 billion in infrastructure investment, 42,000 jobs are created.	2
Steve LaTourette	The problem with invasive species today in the Great Lakes isnt ballast water.	0
Steve LaTourette	Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know who's done OK and who's not complaining today? The public sector. We've gained 590,000 public sector jobs.	2
Michael Moore	The majority actually want single-payer health care.	4
Michael Moore	The richest 1 percent have more financial wealth than the bottom 95 percent combined.	1
Michael Moore	Not a single banker, a CEO from Wall Street, anyone from corporate America  nobody, (there was) not one arrest of any of these people who brought down the economy in 2008.	1
Michael Moore	Just 400 Americans -- 400 -- have more wealth than half of all Americans combined.	0
Victoria Cobb	Inspections of abortion centers around Virginia have found multiple violations of parental consent laws  but Gov. Terry McAuliffe and his administration have done nothing.	3
Joe Theismann	We dont have a (military) reserve force if something happens.	4
Stephen Colbert	It turns out that Texas has an $18 billion budget shortfall and can't afford its new science textbooks.	1
Valinda Bolton	Paul Workman wants to raise the sales tax.	4
Eric Bolling	Of all the jobs President Obama claims to have created since he started, only 38.5 percent are women. So 61.5 percent have gone to men.	2
Eric Bolling	In countries where there are higher, more strict gun laws, there is more gun violence.	4
Empower Texans	There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.	1
Ron Saunders	The two worst counties for (Medicaid) fraud in the country -- not state -- are Dade and Broward county.	1
Pat Roberts	20,000 Kansans lost their health insurance because of (Obamacare).	4
Paul Krugman	The average Republican voter thinks there should be some revenue as part of this deal.	2
Paul Krugman	there have been some job gains in the McMansion State since Mr. Christie took office, but they have lagged gains both in the nation as a whole and in New York and Connecticut, the obvious points of comparison.	0
Paul Krugman	The average unemployed American has been out of work for almost 40 weeks.	0
Paul Krugman	Greece is not a big economy. It's about the size of metropolitan Miami.	0
Paul Krugman	If you want to talk firsts for Bush, this was the first time in American history that a president took us into a war and cut taxes.	1
Paul Krugman	One in four Texans lacks health insurance, the highest proportion in the nation.	0
Paul Krugman	There are actually half a million fewer government employees now than there were when (President Barack) Obama took office.	0
Michael Bloomberg	New York is the safest big city in the nation, and our crime reductions have been steeper than any other big citys.	1
Michael Bloomberg	Over the past 10 years, the number of people living in Lower Manhattan has nearly doubled. In fact, Lower Manhattan has added more people over the last 10 years than Atlanta, Dallas and Philadelphia combined.	0
Michael Bloomberg	There is already a mosque four blocks away.	0
Michael Bloomberg	Canada sets aside 36 percent of their visas for people with skills they think their country needs. We set aside 6 percent.	4
Michael Bloomberg	We can prevent terror suspects from boarding an airplane, but the FBI doesn't have the power to block them from buying dynamite or an AK-47.	0
Michael Bloomberg	Most of the people that work in finance make $70,000, $80,000 a year.	2
Michael Bloomberg	If you go back to 1999, Wayne LaPierre testified on behalf of the NRA that background checks were appropriate and should be done.	0
Dennis Algiere	The legislature was never given the opportunity to debate or vote on loaning $75 million to 38 Studios.	0
Charlie Gonzalez	If Congress does not pass the renewal of the payroll tax cut before the end of the year, nearly 160 million working families will see their taxes go up by roughly $1,000.	2
Ron Hayduk	The right to vote in this country has never been intrinsically tied to citizenship.	1
Democratic National Committee	House Republicans are ramming through legislation ... to classify pizza as a 'vegetable' for the purpose of school lunches.	2
Democratic National Committee	Traditionally, presidential candidates release their tax returns . . . Mitt Romney still wont.	1
Democratic National Committee	Under President Obama, U.S. security funding for Israel is at an all-time high.	2
Democratic National Committee	Only 20 percent of Americans admit to being Republicans anymore.	1
Democratic National Committee	One thing that is much more unpopular than the Affordable Care Act is repealing the Affordable Care Act.	1
Democratic National Committee	McCain Trying to Have it Both Ways on Iraq	3
Democratic National Committee	Less than four cents of every health care dollar is spent on prevention and public health.	0
Democratic National Committee	We spend more on health care than any other country, but we're ranked 47th in life expectancy and 43rd in child mortality.	0
Democratic National Committee	Republicans actually doctored emails between administration officials about Benghazi. Then, they released them to the press, trying to pass them off as real.	3
Democratic National Committee	The Health Care  and Education Reconciliation Act is the largest-ever investment in  higher education.	3
Democratic National Committee	McCain has voted repeatedly at least six times against funding for global HIV/AIDS, malaria and TB fund, once as one of only 14 senators.	2
Democratic National Committee	College tuition rates in Texas jumped by 55% since 2003.	1
Vernon Jones	I have a record on the environment of creating green energy ... taking  trash and turning it into cash.	1
Vernon Jones	Four years as a congressman, he [U.S. Rep. Hank Johnson] never talked  about MARTA.	5
Ron Klein	The IRS filed an $11,000 lien against (Allen) West for back taxes. Three liens were placed on his home for unpaid bills, and a judge ordered West to pay over $5,000 for past due credit card bills.	1
Ron Klein	West has raised $2 million from those that would leave our beaches in ruins, end Social Security and Medicare, and give corporations free reign.	4
Peter DeFazio	Medicare passed with virtually no Republican support.	4
Ohio Oil and Gas Association	Nearly 40,000 new jobs have been created in the last year due to the new wells . . . right here in Ohio.	5
John Driscoll	(Sen. Robert) Gordon cost us money, exempting the Newark sports arena from paying property taxes and sticking us with the bill.	3
Anthony Gemma	Bill Lynch told three lies in ten seconds	1
Stephen Sweeney	New Jersey's poverty rate has increased since this governor took office and the number of New Jerseyans without health insurance has risen.	2
Stephen Sweeney	Seventy percent of the people in the state of New Jersey want marriage equality.	4
Stephen Sweeney	67 percent of marriages now wind up in divorce.	4
Stephen Sweeney	my plan is a property tax cut.	2
Stephen Sweeney	People want the minimum wage, they want marriage equality, they want womens health care. Theres issues that actually that really do matter, social issues that matter to the people of this state. So I know Barbara would support those issues, I know the governor hasnt. Youve seen the actions hes taken on them.	1
Richard  Ferruccio	What we have now is the most generous, in my opinion, 'good time' bill in the entire United States.	4
Michael Murphy	Mequon and Milwaukee have the highest disparity of income in the country.	4
Russell Brand	The American murder rate is 50 times that of any other developed nation.	4
Georgia Democrats	Republicans are attempting to remove Barack Obama from Georgias Presidential Ballot in 2012.	2
Jeff Sessions	In her first appellate argument, Ms. Kagan told the court that the speech and press guarantees in the First Amendment would allow the federal government to ban the publication of pamphlets discussing political issues before an election.	2
American Petroleum Institute	Bill Clinton and George Bush both say build the Keystone XL.	0
Clay Cox	For six years, I served our community as a conservative state legislator. In every one of those years, I helped balance the state's budget.	3
Mark Kirk	At his father's bank, Alexi made tens of millions in risky loans to convicted mobsters. Then, the bank collapsed.	2
Mark Kirk	Alexi Giannoulias' top aide was a longtime BP lobbyist.	3
Ruth Marcus	The best evidence is that you lose -- if you use marijuana as a teenager regularly -- eight IQ points.	2
Jan Jones	[W]hen adjusted for cost of living, Georgia ranks first nationally in teacher salary and benefits.	2
Ron Meyer	Only three in 10 young Americans under 30 -- 30 percent under 30 -- have full-time work.	2
John Oliver	28 percent of Kentuckians dont have any online access.	2
John Oliver	With the exception of baby formula, the federal government does not require any food to carry an expiration date, and state laws vary widely.	0
John Oliver	The number of SWAT raids have gone up by 1,400 percent since the 1980s.	1
Pete Gallego	Just two weeks ago, Congressman Hurd quit his post on the House Committee on Small Business saying that he was unable to find the time to serve.	2
Pete Gallego	In Mexico, they don't have birth certificates... they dont have registration cards for voters. They have one national ID.	4
Pete Gallego	This Congress made history as the least productive, most unpopular Congress in the history of this proud nation.	1
Chris Dodd	The fact of the matter is that my colleague from New York, Senator Clinton, there are 50 percent of the American public that say they're not going to vote for her.	1
Chris Dodd	We're spending $1.6 billion for all of Latin America in terms of aid and assistance, a fraction of what we're spending in Iraq, the $500 billion we've spent there	1
Chris Dodd	With the resources it takes to execute just over three months of the Iraq war, we could fully fund the expansion of health care for needy children that Bush vetoed.	1
Chris Dodd	John Kerry was at 4 percent in the polls in December of 2003...and he ended up becoming the nominee of the party.	2
Chris Dodd	Dodd brought both parties together to pass the Family and Medical Leave Act.	0
Chris Dodd	We've got some 37-million of our fellow citizens who are living in poverty; about 12-million or 13-million are children.	0
Chris Dodd	Barack Obama and Hillary Clinton have changed their positions (on the Iraq war withdrawal) to follow Chris Dodd.	2
ForAmerica	American families work hard to earn $4,250 a month. Obama is spending $18,972 a month on each illegal immigrant child.	3
Republican Party of Wisconsin	The only time over the last 25 years when the states unemployment rate exceeded the U.S. average was when (Mary) Burke was commerce secretary.	1
Republican Party of Wisconsin	Because of (U.S. Sen.-elect Ron) Johnsons leadership, Senate Republicans adopted a caucus ban on earmarks.	1
Republican Party of Wisconsin	25,000 businesses have been created since (Scott) Walker took office.	3
Doctors for a Healthy Georgia	Defensive medicine costs Georgia up to $14 billion a year.	2
Rashad Taylor	More children die in agricultural jobs than in any other industry.	0
Get EQUAL Texas	Between Austin, San Antonio, Houston and Dallas over 8,000 same-sex couples are raising children.	2
Tom Niehaus	Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.	0
Tom Niehaus	Unfortunately we have documented instances where people defecated in the (Statehouse) building.	5
Jennette Gayer	Wind powers nearly 13 million homes across the country.	1
Jennette Gayer	We have had over 40 days this summer where it was unsafe to breathe the air.	2
Mark Harris	Ive got the spending down, Ive got the debt down a little bit, Ive got the reserves up.	1
Glenn Hegar	Texas still owns all of its public lands. If the federal gov't wants to create a park, they must ask permission!	2
Reed Gusciora	Opinion polls show that the majority of Americans, and the majority of New Jerseyans, favor marriage equality for same sex couples.	1
National Republican Senatorial Committee	President Obama and liberal former DNC Chairman Tim Kaines $787 billion stimulus failed to create jobs.	4
National Republican Senatorial Committee	Senator Chris Dodd, chairman of the Senate Banking Committee, placed an amendment in the stimulus bill that allowed for banks bailed out with taxpayer money  including AIG  to hand out huge bonuses.	2
Rhode Island Retirement Security Coalition	In the past six years alone, changes to the pension formula  have saved over half a billion dollars.	3
Cokie Roberts	In New York, your chances of getting murdered are 1 in 25,000. In Honduras, its 1 in 14.	2
Cokie Roberts	Two-thirds of the people who receive the minimum wage are female.	1
Duriya Farooqui	Of the 18 stadiums built from 2004 to 2013, 47 percent of the total cost came from public sources.	1
Alicia Menendez	A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession.	0
Connie Mack	Bill Nelson voted for higher taxes 150 times.	4
Connie Mack	President Obama has no plan to reduce the deficit, let alone pay down the debt.	3
Connie Mack	I have always said that I would be for drilling.	5
Connie Mack	Bill Nelson actually voted in favor of higher taxes 272 times.	4
Connie Mack	I have a very conservative voting record.	1
Texas House Democratic Caucus	Some neighborhood schools are closing.	1
Al Hunt	This is not a mosque. It's a cultural center that has a prayer area.	4
Al Hunt	Crime is down in Arizona.	0
Richard Tomlins	Mayor Fung wants to punish our children's education by removing 12 million dollars from current funding to pay for his private charter school. Your taxes would increase by between 6 and 8 percent per year.	5
J.B. Van Hollen	Over 22,000 unique Internet Protocol addresses -- in Wisconsin alone -- have downloaded child pornography.	1
Sergio Marchionne	Less than two years ago, we made a commitment to repay the U.S. . . .taxpayers in full, and today we made good on that promise.	2
U.S. Chamber of Commerce	As Virginias governor, Allen cut spending and waste with bipartisan support.	2
U.S. Chamber of Commerce	Obamacare ... will kill jobs across America.	4
U.S. Chamber of Commerce	Obamacare (hit) Americans with over $500 billion in new taxes.	2
U.S. Chamber of Commerce	A Florida judge ruled parts of Obamacare unconstitutional.	1
U.S. Chamber of Commerce	Seniors will see $500 billion in Medicare cuts to fund Obamacare.	3
U.S. Chamber of Commerce	Obamacare could cause 20 million people to lose their current coverage.	3
Ezekiel Emanuel	The insurance companies are making that choice (to cancel or change policies), not the president.	3
David Sciarra	By any measure, New Jersey has one of the most segregated school systems in the country.	1
Daniel Llanes	78702 is the second-most gentrified ZIP code in the entire country.	4
Lamar Alexander	No member of the American public has ever been killed by commercial nuclear power  a record unmatched by other fuels.	0
Lamar Alexander	Three of our cities are among the top five worst cities in the U.S. for asthma.	0
Lamar Alexander	More Tennesseans have hunting and fishing licenses than vote.	4
Lamar Alexander	we are overcharging students . . . to help pay for the health care law.	2
Brett Smiley	Of all cities in the United States with more than 100,000 people, Providence is the 183rd safest.	1
Bill Powell	(t)his 12 year council 'Seat-warmer' has never chaired, vice chaired, or led a single Council committee meeting.	4
Nia-Malika Henderson	Democrats very much are in the pocket of the NRA.	3
Stephen Carter	More than 70 percent of American adults have committed a crime that could lead to imprisonment.	1
Jeff Duncan	83% of doctors have considered leaving the profession because of #Obamacare.	4
Barbara Buono	Governor Christie, his idea of jumpstarting the economy is to propose a trickle-down income tax cut last year and in his budget address this year, he stated his support for it again.	3
Barbara Buono	as of November, we were ranked 45th in the nation in terms of job creation, according to the U.S. Bureau of Labor Statistics.	3
Barbara Buono	Wisconsin lost more jobs over the past 12 months than any other state.	0
Barbara Buono	To hear Gov. Christie tell it, everything in New Jersey is going just fine. Well I see another New Jersey with 400,000 unemployed. One of the worst jobless rates in the country. Working and middle class families have seen costs soar, from property taxes to college tuition.	2
Barbara Buono	Guess what, governor? Theres no fried butter in Newark. Just 13 percent unemployment.	0
Barbara Buono	New Jersey has lost over half of our pharmaceutical jobs to states you know, not low-tax states like in the South, but high-tax states like New York.	1
Barbara Buono	I have the experience as Senate Budget Chair of cutting $4.5 billion in spending -- to close the deficit while protecting education and health care.	2
Barbara Buono	While the United States has seen its unemployment rate steadily decline, New Jersey's remains nearly two percent higher than the national average and more than a point higher than Connecticut and New York.	1
David Bowen	Two of the top three (rated) public high schools in Wisconsin  Ronald Reagan College Prep and Rufus King International  are MPS schools.	2
Mary Matalin	For the last decade the climate has been cooling.	4
Florida Chamber of Commerce	Insured Floridians pay about $2,000 for every hospital stay to cover the cost of the uninsured.	2
Ohio Republican Party	President Barack Obama (is) the first president in history to cut Medicare by $700 billion.	2
Ohio Republican Party	Kewpie burgers are delicious. An Ohio institution. And they'll cost less thanks to John Kasich's tax cut.	1
Lisa Blais	We came out against Deepwater and everybody is now paying for [the project] in their electric bills.	3
Michael Chippendale	The vast, overwhelming majority of [crimes that occur with a firearm] are committed by people who dont legally possess that firearm in the first place.	1
Teresa Tanzi	We have no idea what is contained in [electronic cigarette] vapor.	4
Democratic Senatorial Campaign Committee	Cory Gardner is sponsoring a bill to ban all abortions right now.	2
Al Roker	(Birmingham, Ala.) is the cradle of the civil rights movement.	3
James Florio	Many types of fish and shellfish from waters across the state are labeled unsafe to eat.	1
James Florio	We have over 300,000,000 weapons, firearms in this country. Thats almost as big as the population.	0
Keep Conservatives United	Rick Perry doubled spending in a decade.	3
House Republican Conference	The administration raises revenue for nationalized health care through a series of new taxes, including a light switch tax that would cost every American household $3,128 a year.	5
House Republican Conference	Nothing in any of the Democrat bills would require individuals to verify their citizenship or identity prior to receiving taxpayer-subsidized benefits.	2
House Republican Conference	The government is going to tell Americans they need to replace functioning stoves in their homes with 'government-certified' stoves and use taxpayer dollars to do so.	2
Bob Buckhorn	There was no panhandling when I left office.	4
Bob Buckhorn	One international flight a day in a wide-bodied jet ... one flight daily generates $150 million a year and approximately 2,300 jobs.	2
Kareem  Abdul-Jabbar	More whites believe in ghosts than believe in racism.	3
For Our Daughters RI	Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker.	5
Peter Shumlin	Nathan Deal cut the HOPE scholarship program so that literally 100,000 Georgians will not be able to go to college or get technical training that they so badly needed to raise -- you know, give them a chance at a good job.	2
Mark  O'Mara	Literally, by the time a child is 18 years of age, they've killed over 100,000 people in video games and other online things.	2
Dave Claunch	Austin has more lobbyists working for it than any other municipality in Texas.	1
John Eaves	This kind of snowstorm happens every 10 or 15 years.	0
Ocean State Policy Research Institute	Dubious taxpayer-funded stimulus projects in Rhode Island include  $250,000 to provide digital television to the states inmate population.	4
Ocean State Policy Research Institute	The most significant driver of out-migration [from Rhode Island] is the estate tax.	4
Jack Bogdanski	in the Legislature, (Mary Nolan) has been a party-line Democrat, showing a 100% track record in harmony with the American Civil Liberties Union.	0
Pierre Thomas	Saturday's shootings reflect a disturbing trend. Mass shootings have become commonplace since the Virginia Tech massacre in 2007. There have been dozens of incidents where three or more people have been fatally wounded. Hundreds have died.	2
Martin O'Malley	When it comes to what little bit of job creation was happening in Massachusetts (when Mitt Romney was governor), it was happening in the public sector at six times the rate that it was happening in the private sector.	2
Martin O'Malley	When it comes to being effective at creating jobs  (Chris Christie has not had) a record of governing for effectiveness. ... Last year, New Jersey created no net new jobs.	2
Martin O'Malley	We're not allowed to read it (the Trans-Pacific Partnership) before representatives vote on it.	3
Martin O'Malley	The CEO of Goldman Sachs let his employees know that hed be just fine with either Bush or Clinton.	3
Martin O'Malley	Today in America, 70 percent of us are earning the same or less than we were 12 years ago, and this is the first time that that has happened this side of World War II.	2
Martin O'Malley	97 percent of the work that Planned Parenthood does is about mammograms and preventative health.	2
Florida Police Benevolent Association	Rick Scott's prison plan would cut Florida's prison budget in half, close prisons, and release tens of thousands of prisoners early -- murderers, rapists, sex offenders, armed robbers, drug dealers.	3
David Cicilline	When I took office in 2003, we had very little reserves.	3
David Cicilline	If you are a federally licensed gun dealer and your license is revoked because you've engaged in misconduct ... your entire inventory under prevailing law is deemed your personal collection. You then can sell it free from any background checks.	0
David Cicilline	The Republican candidate [John Loughlin] has talked about privatizing Social Security ... so we know where he stands on the issue.	2
David Cicilline	We will spend $100 billion in Afghanistan this year, fixing roads, building bridges, training police officers, and more, [and] cutting the same things in our own country.	4
David Cicilline	The truth is David Cicilline voted for tougher laws against child abusers, domestic abusers and abusers of the elderly.	0
David Cicilline	(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.	4
David Cicilline	According to one study, the minimum wage today is worth $2 less than in 1968.	1
David Cicilline	There are more oil rigs in operation in the United States than the rest of the world combined.	4
David Cicilline	We just fought a Republican budget that ends Medicare as we know it.	3
David Cicilline	When President Obama took office, we were losing 700,000 jobs a month. Now we've had job growth, I think, for 24 consecutive months.	1
David Cicilline	She [Hillary Clinton] has also said unequivocally that she didn't receive classified documents.	2
David Cicilline	Most military experts say there is anywhere between 25 and 30 members of al Qaeda in Afghanistan.	3
David Cicilline	We have the third-lowest minimum wage  of developed countries.	0
David Cicilline	John Loughlin voted to let people accused of domestic violence keep their guns.	1
David Cicilline	The Congressional Budget Office, a nonpartisan office, did an analysis and said that passing comprehensive immigration reform will reduce the federal deficit by $200 billion over the next decade.	0
David Cicilline	While I was mayor of the city of Providence we had the lowest crime rate in 30 years.	0
Jamie Radtke	Senator Webb was a reliable vote for President Obama and Senator Harry Reid.	0
AFSCME	While Romney was a director of the Damon Corporation, the company was defrauding Medicare of millions.	1
AFSCME	Jim Renacci supports a national sales tax of 23 percent.	2
Cory Gardner	We would create thousands of jobs in Colorado, if the Keystone Pipeline were to be built.	3
Tim Griffin	There was no surge in 501(c)(4) applications in 2010.	0
Americans for Common Sense Solutions	As a state representative, David Cicilline argued against Megan's Law and voted against mandatory registration of sex offenders.	3
John Lee	Clackamas County has more urban renewal debt than all the other Oregon counties combined.	2
Dolores Gresham	Right now we have sufficient reserves to take care of Tennessee's lottery scholarship students for a few years more.	4
Nationwide	The No. 1 cause of childhood deaths is preventable accidents.	1
Charlie Baird	We've had the same leadership in the Travis County DA's office for 30 years.	3
Joe Scarborough	Since Barack Obama became president of the United States, 95 percent of economic gains have been made by the richest 1 percent.	1
Joe Scarborough	More people have watched Morning Joe than CNN and HLN 5 years in a row.	1
Ben  Shapiro	Were above 800 million Muslims radicalized, more than half the Muslims on Earth Thats not a minority. Thats now a majority.	4
Teresa Ghilarducci	A quarter of our workers make $18,000 per year.	2
Sara Stevenson	The Austin school district calendar lists 64 different dates for either a state-mandated test or make-up test.	3
Brit  Hume	It is senior citizens, not Hispanics, who are the fastest-growing demographic in this country.	3
Jim Renacci	Since President Obama took office, our federal spending has increased by nearly 30 percent and our national debt has increased by almost 50 percent.	2
Jim Renacci	There is no record of congresswoman Betty Sutton ... ever holding a single in-person town hall meeting open to the general public.	4
Jim Renacci	The top 1 percent (of income earners) paid 36.7 percent (of the taxes). ... The top 50 percent pay 97.7 percent.	0
Jim Renacci	Boccieri voted to spend a billion dollars an hour, every hour, for his first 50 days in office	3
Jim Renacci	My opponent, in 2008, had contributions investigated by the federal government.	4
Jim Renacci	For [GM] to pay back everything it owes, it would have to sell its shares at $143 a share . . . where the highest value of a General Motors share ever was $43, $44, $46, whatever the dollars were . . .	4
Jim Renacci	Raising taxes on investment income has actually lowered the revenue received from the tax, while cutting capital gains tax rates has increased revenue.	2
Urban Intellectuals	Sheriffs Call For Obamas Lynching While Leader Meets With GOP Senators	5
Lone Star Project	(Pete) Sessions has held at least two fundraisers at adult-themed clubs and made no apologies.	2
Jeff Weems	Im running against a  groundhog. He saw his shadow on the primary day, and  no one has seen him  since.	3
Greg Abbott	The FBI is involved in an investigation about people in the Rio Grande Valley who are using cocaine to buy votes.	1
Greg Abbott	Wendy Davis legal work is currently under FBI investigation.	3
Greg Abbott	My wife is going to be the first Hispanic first lady in the history of Texas.	0
Greg Abbott	More lives have been lost because of the war with the drug cartels in Juarez alone, just a few blocks from the United States of America, than have been lost in the war in Afghanistan.	4
Greg Abbott	Obama has (a) new Christmas tree tax.	3
Greg Abbott	After Texas defunded Planned Parenthood, both the unintended pregnancy and abortion rates dropped.	3
Greg Abbott	Texas has more full-time state employees per capita than California and Illinois.	2
Greg Abbott	As attorney general, I have prosecuted judges, district attorneys and other public officials across Texas who violated that (public) trust, who have been corrupted.	0
Greg Abbott	The growth rate of women-owned businesses in Texas has nearly doubled that of the nation since President Obama has taken office.	2
Greg Abbott	Already this calendar year, since January 1, we have had more than 20,000 people come across the border, apprehended, unauthorized.	0
Greg Abbott	Ive been involved in prosecuting a terrorist member of ISIS.	4
Alison Lundergan Grimes	The only candidate pocketing big money from people who want to destroy coal is Mitch McConnell.	4
Alison Lundergan Grimes	Sen. McConnell says it's not his job to bring jobs to Kentucky.	2
Ohio Democratic Party	FACT: the special assistant in @johnkasich's office makes over three times more than an average #OH firefighter	1
Ohio Democratic Party	Tom Ganley supports a 23 percent national sales tax that would raise taxes on the middle class while giving a huge tax break to millionaires like himself.	3
Victoria Taft	A $250 fine if you're caught with a plastic bag coming out of a store. Plastic bag police anyone?	4
Democratic Congressional Campaign Committee	Rigell's car dealership made over $400,000 off the Cash for Clunkers bailout.	2
Democratic Congressional Campaign Committee	Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Sean Duffys Republican Majority.	5
Democratic Congressional Campaign Committee	Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Jim Renaccis Republican majority.	5
Democratic Congressional Campaign Committee	Congressman Duffy has long record of voting against VA backlog fixes.	4
Democratic Congressional Campaign Committee	Vern Buchanan. His old business was caught illegally funneling over $60,000 in campaign donations to Buchanan to influence his election.	1
Democratic Congressional Campaign Committee	Congressman Bill Young voted to cut taxes for millionaires and end your Medicare.	3
Democratic Congressional Campaign Committee	Seniors will have to find $12,500 for health care because Republicans voted to end Medicare.	5
Democratic Congressional Campaign Committee	Credit agency says Rep. Gibbs recklessly caused downgrade, higher interest rates.	4
Democratic Congressional Campaign Committee	Congresswoman Ros-Lehtinen has long record of voting against VA backlog fixes.	4
Democratic Congressional Campaign Committee	Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Scott DesJarlais's (TN-04) Republican Majority.	5
Democratic Congressional Campaign Committee	Sean Duffy backed plan to privatize Social Security.	5
Democratic Congressional Campaign Committee	Congressman Renacci is under FBI investigation.	4
Democratic Congressional Campaign Committee	Rep. Robert Hurt voted again today to end Medicare and raise health care costs for Virginia seniors.	4
Democratic Congressional Campaign Committee	Rep. Jim Renaccis plan to end Medicare also puts nursing home care for 3,000 seniors in the district in immediate jeopardy.	3
Jeff Fitzgerald	In 2009, Jim Doyle and the Democrats rushed through a budget repair bill with billions in tax increases and held no public hearings.	3
Jeff Fitzgerald	In her nearly decade and (a) half in Congress, Tammy Baldwin has sponsored 105 bills. Only three have been enacted into law.	1
Clean Water Portland	If you compare the Portland Metro area to the CDCs statewide cavity rates ... the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.	4
Ana Navarro	A lot of what (Cubas) survival depends on is Venezuelan oil money, which is drying up.	1
Deval Patrick	By the time(Mitt Romney)left office, Massachusetts was 47th in the nation in job creation.	2
Robert Gates	The video doesn't show the broader picture of the firing that was going on at American troops.	1
Robert Gates	The policy of the Bush administration was also not to add new nuclear capabilities.	2
Rosa DeLauro	When the salmonella source was finally identified, FDA officials had to wait for industry approval before they could go live with the [peanut] recall.	0
Susan Collins	This year, the overwhelming majority of new jobs are part time.	0
PlantsNeedCO2.org	Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.	4
Mitch Daniels	Within a few years, we will be spending more on interest payments than on national security.	4
Mitch Daniels	Nearly half of all persons under 30 did not go to work today.	5
Dan Branch	Worked with Ronald Reagan and helped re-elect him.	2
Sheila Oliver	Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.	2
Sheila Oliver	Most of the U.S. Senate is comprised of multimillionaires.	1
Sheila Oliver	In 2011 alone, 269 New Jerseyans were killed by gun violence.	0
Sheila Oliver	New Jersey has the most educated population of all the states in this country.	1
Sheila Oliver	In 1958, there were 16 states in this country that prohibited -- prohibited -- an African-American and a Caucasian from being married.	1
Foundation for a Secure and Prosperous America	Rand Paul supports Obama's negotiations with Iran.	3
Glee	The U.S. Census believes that by 2030 the majority of Americans will use Spanish as their first language.	5
Mark Sharpe	Mark Sharpe has lowered property taxes by 17 percent.	3
Janet Howell	Its going to be harder to vote in Virginia than it is now to buy a gun...	2
Susan Cole	New Jersey loses net, that is minus those who come into the state, 30,000 students a year.	0
Addicting Information	U.S. police killed more people in just one month than the U.K.s did in over a century	4
Paul Doughty	Providence is one of the busiest fire departments for its relative size in the country	0
Whoopi  Goldberg	For the first time in history, (Thors) hammer is being held by a woman	3
Richard Corcoran	90 percent of babies with Down syndrome are aborted	0
Richard Corcoran	Medicaid patients were 97 percent more likely to die than those with private insurance	3
Dean Cannon	The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed	0
Fidelis	Obama taps porn lawyer for #2 at Justice	1
Bud Chiles	Florida is 49th in per capita spending on mental health care	0
Bud Chiles	Today, Florida is in 50th place in spending on education	2
Bud Chiles	Almost 1 million children ... have no health insurance in this state	0
Jeb Bush	In 1998, nearly half of Florida's fourth-graders were functionally illiterate. Today, 72% of them can read	1
Jeb Bush	When he (Donald Trump) asked Florida to have casino gambling, we said no	1
Jeb Bush	A record number of Hispanics were elected to the U.S House of Representatives	1
Jeb Bush	1/3 of our kids drop out (of high school), cannot go to college or start a career	3
Jeb Bush	On my last trip to New Hampshire, I think I met the guy who founded the first and only bank since Dodd-Frank passed, since the financial crisis. One bank in the country	3
Jeb Bush	Among the developed nations, we are the least economically and socially mobile country in the world	0
Jeb Bush	We are in the sixth year of recovery, and median income is below what it was at the start of the recovery	0
Jeb Bush	A law was passed, apparently in the Clinton administration, about whether, in recruiting offices  Marines or other military should be able to have guns. Apparently it is prohibited	3
Jeb Bush	Already, a prototype driverless car has traveled more than 300,000 miles in the crowded maze of California streets without a single accident	1
Jeb Bush	Rick Scott got a majority of the Hispanic vote in Florida	3
Jeb Bush	The federal government right now does not deport criminals	4
Jeb Bush	Canada has one-tenth of our populationyet it issues far more high-skilled visas (more than 150,000) yearly than we do (65,000	2
Jeb Bush	Trump proposed enacting the largest tax increase in American history	0
Jeb Bush	There are more poor people today as a percentage of our population than the 1970s	1
Jeb Bush	As governor of Florida I defunded Planned Parenthood	0
Jeb Bush	I cut state spending more than anybody (in the 2016 GOP field	2
Jeb Bush	Nearly 65 percent -- almost two-thirds -- of all new permanent residents obtained that status by virtue of their family status	0
